Date,ED1,ED2,ED3,ED4,ED5,ED6,ED7,ED8,ED9,ED10,ED11,ED12,ED13,ED14,ED15,ED16,ED17,ED18,ED19,ED20
1/3/2000,6.300145725,6.579725778,6.805882221,7.01828715,7.028154902,7.119748105,7.163734066,7.230232306,7.184040771,7.195232453,7.205515438,7.265,7.235150036,7.259495441,7.27811774,7.358091732,7.354708215,7.396913583,7.427265129,7.506267897
1/4/2000,6.275171291,6.532366948,6.763403309,6.963486594,6.973893922,7.065365827,7.109765657,7.180379011,7.133714355,7.145371832,7.155974627,7.210109089,7.18,7.204755378,7.223724651,7.303604677,7.299734245,7.342447633,7.372636352,7.452905762
1/5/2000,6.29454765,6.582541719,6.820956812,7.014204019,7.030129367,7.126493563,7.175916413,7.250987427,7.213686429,7.225527141,7.241705623,7.300245057,7.269864532,7.295,7.319283958,7.404036916,7.399817291,7.442871402,7.477670605,7.564384895
1/6/2000,6.292558265,6.563636037,6.792313299,6.974440973,6.990854713,7.087532933,7.142152369,7.215722592,7.173301316,7.185680287,7.202298925,7.26032509,7.2297664,7.255226637,7.275,7.359521484,7.354866747,7.398412294,7.433124431,7.521096123
1/7/2000,6.27605976,6.525950742,6.75356578,6.918970323,6.937109586,7.032297025,7.077964358,7.156075586,7.112992658,7.125815956,7.142906623,7.200386433,7.169677031,7.195442767,7.215701369,7.3,7.294924841,7.33894907,7.373583042,7.462832905
1/10/2000,6.301285697,6.564579335,6.798349128,6.972531059,6.993626112,7.085202358,7.140534743,7.205623306,7.167985832,7.180657819,7.194592719,7.250553734,7.219272445,7.240876027,7.262960167,7.346275398,7.340203685,7.385513482,7.42,7.513175082
1/11/2000,6.352120189,6.640863735,6.888451563,7.068484202,7.090001309,7.185972628,7.24252743,7.316084006,7.278156784,7.29601644,7.310178702,7.365477061,7.334478338,7.361214026,7.383702266,7.46666954,7.460303974,7.506081243,7.545540086,7.64
1/12/2000,6.369916044,6.664289397,6.91050321,7.091540296,7.126335012,7.215958127,7.273747516,7.345996576,7.307968951,7.326529989,7.346107235,7.400388997,7.369407816,7.396648882,7.424702949,7.506933524,7.500594662,7.551716389,7.591050367,7.686803513
1/13/2000,6.347149091,6.623805506,6.854829419,7.02062101,7.051234476,7.136409191,7.194257921,7.260502275,7.223005636,7.241603477,7.261798203,7.315320244,7.284410159,7.311852416,7.340548249,7.422248041,7.415787255,7.467273107,7.506585918,7.603628554
1/14/2000,6.354592296,6.643067827,6.878578239,7.055521136,7.10354047,7.186690089,7.24521055,7.310985523,7.278336244,7.296600179,7.317518881,7.370226604,7.339429497,7.367048651,7.39640984,7.477539616,7.470996838,7.522822389,7.562128596,7.660475284
1/18/2000,6.373384529,6.659186852,6.903063585,7.085497323,7.139451857,7.229432285,7.291060062,7.361111508,7.328999104,7.352173082,7.376036868,7.429972651,7.39999389,7.433702408,7.470233158,7.548455404,7.541921602,7.59525576,7.639785343,7.74245894
1/19/2000,6.365041572,6.651524487,6.88764736,7.061485515,7.121567168,7.208446481,7.268032111,7.340577579,7.303482906,7.327450326,7.351600559,7.405519931,7.380488648,7.41388367,7.45106191,7.529136631,7.527513528,7.580724996,7.625459121,7.729226319
1/20/2000,6.357657178,6.641595772,6.887075489,7.064792198,7.134185849,7.226280078,7.295417481,7.364122352,7.323174372,7.347624358,7.372369749,7.425385033,7.400653697,7.434077967,7.472136678,7.548903932,7.542117682,7.590626674,7.630730589,7.736626883
1/21/2000,6.340821139,6.628310774,6.878049462,7.044457387,7.115559077,7.207137569,7.275354376,7.339329353,7.303925331,7.327305399,7.354081898,7.410648629,7.385715844,7.419328684,7.458100948,7.534058821,7.527390411,7.576104131,7.616345805,7.723579747
1/24/2000,6.336217797,6.608480871,6.846973568,7.001644589,7.072204112,7.149784656,7.203940931,7.252188173,7.219644457,7.242350775,7.271758125,7.325041826,7.301549447,7.334043718,7.37087079,7.443715707,7.433013727,7.482066708,7.517483203,7.63098532
1/25/2000,6.34646285,6.61489813,6.85844036,7.015425847,7.077181464,7.15471417,7.213170576,7.265327947,7.223523812,7.247725007,7.277568025,7.329842962,7.306807376,7.339085976,7.377266431,7.44732309,7.426749097,7.472277007,7.508210877,7.622853225
1/26/2000,6.356318342,6.63614167,6.878863238,7.033678311,7.104478189,7.17977705,7.239428789,7.289811999,7.248688706,7.272761777,7.303470995,7.354614924,7.332049686,7.364242974,7.403249552,7.472460866,7.451177045,7.492302188,7.52878249,7.637572003
1/27/2000,6.3627958,6.662672334,6.918930293,7.077895102,7.156439547,7.230675532,7.29910658,7.355182792,7.313644033,7.337793988,7.369598461,7.418447786,7.39094087,7.418197972,7.453141394,7.516272252,7.490344059,7.526700652,7.558467049,7.663700166
1/28/2000,6.440902998,6.760628661,7.037545157,7.197923926,7.270457107,7.339718007,7.402594722,7.44609068,7.396928395,7.416358211,7.444373926,7.485579284,7.449283298,7.47233834,7.502143857,7.553460633,7.519274719,7.550336742,7.572134942,7.676618998
1/31/2000,6.508243994,6.81760155,7.090624431,7.268684089,7.363243097,7.451937798,7.520271124,7.552095315,7.500673282,7.514854519,7.539390695,7.565685865,7.523259268,7.539830299,7.563008092,7.606317508,7.568372904,7.594918469,7.611979163,7.709450092
2/1/2000,6.501898842,6.808869384,7.076690579,7.245878156,7.331604624,7.417562408,7.484737325,7.510770379,7.460969811,7.474634358,7.500561174,7.523624175,7.477909887,7.494793912,7.519154825,7.559709567,7.517981583,7.545232656,7.562305086,7.661704152
2/2/2000,6.531649642,6.866644805,7.139025852,7.311915113,7.398154802,7.471141125,7.541335649,7.564860231,7.516132174,7.529566258,7.556280871,7.578304693,7.531611028,7.544201466,7.570100328,7.609500995,7.566885237,7.589948675,7.607603553,7.699891006
2/3/2000,6.509213198,6.838174167,7.116927559,7.291004423,7.37743463,7.457979631,7.526896591,7.549793419,7.498450024,7.500325078,7.519974652,7.536018076,7.485051147,7.492490279,7.514548745,7.547204277,7.501812299,7.524176938,7.53687094,7.634471726
2/4/2000,6.526608418,6.866541546,7.152775954,7.32727609,7.413543799,7.493531816,7.562838015,7.584467128,7.531555263,7.530012038,7.54907843,7.560078863,7.508688999,7.511786487,7.535462426,7.566919377,7.520607599,7.538678806,7.552706779,7.650183636
2/7/2000,6.538251217,6.880354169,7.17891887,7.360204188,7.45675596,7.54370799,7.613579057,7.629033704,7.580108985,7.574176494,7.594362144,7.597653104,7.54704671,7.546118382,7.571559891,7.59457815,7.550927472,7.568881377,7.584055798,7.685999925
2/8/2000,6.512397953,6.848977015,7.142549705,7.313977427,7.418659819,7.507469367,7.576008443,7.593903638,7.545340102,7.536912808,7.554906603,7.555033441,7.501856838,7.499359045,7.521807717,7.54402871,7.501278838,7.517656014,7.528276568,7.63628286
2/9/2000,6.513766464,6.856362738,7.147105509,7.319928273,7.428413941,7.514414514,7.587893933,7.602577988,7.557128376,7.553944903,7.577494969,7.581656852,7.53196245,7.530453779,7.559917432,7.583872944,7.54094899,7.559080682,7.574950174,7.68018179
2/10/2000,6.50148102,6.834570315,7.116067197,7.288017594,7.402045425,7.494331059,7.578802476,7.601261756,7.567139695,7.571005315,7.601967506,7.615101232,7.576302579,7.582794755,7.617294072,7.646483387,7.615115393,7.64121002,7.662581212,7.784003566
2/11/2000,6.484880424,6.812222388,7.093917069,7.264495411,7.377181556,7.47595536,7.56100941,7.574793643,7.540269141,7.540625751,7.571135992,7.577207444,7.534027436,7.537263868,7.573329662,7.600908335,7.570353063,7.596332504,7.618160519,7.741359337
2/14/2000,6.478671648,6.797533841,7.063586056,7.216657305,7.322678046,7.400731854,7.482865001,7.496738045,7.459672635,7.460390384,7.493780705,7.492694335,7.448673727,7.45227244,7.490570898,7.516342082,7.491270698,7.518177572,7.546493227,7.668859124
